time(s),M_x,M_y
0.018400000000000003,-5633.762177917988,-6078.340246410727
0.01856,-5626.4611708657385,-7533.81553900903
0.01872,-5241.065067594695,-8925.18552975345
0.01888,-4526.965195051798,-10353.349255595227
0.01904,-3517.4843760856934,-11519.423478632176
0.019200000000000002,-2161.7233611622487,-12588.628134543755
0.019360000000000002,-661.0347100791072,-13353.373466064615
0.019520000000000003,989.865179020622,-13768.964922835925
0.019680000000000003,2758.70232655397,-13916.307977292276
0.01984,4507.022925432289,-13634.485414899811
0.02,6202.8676799857385,-13016.865566680606
0.02016,7826.320996124856,-12062.76900724827
0.02032,9270.418929510002,-10849.380218243514
0.02048,10430.503913774995,-9428.248933638339
0.020640000000000002,11137.445091216874,-7784.348932894408
0.020800000000000003,11574.69801548778,-6104.791208890896
0.020960000000000003,11677.20055021146,-4477.606202632072
0.021120000000000003,11417.463407006575,-2923.4445864646327
0.02128,10902.674824838365,-1513.7513815663165
0.02144,10124.2814023542,-324.16023141246455
0.0216,9191.622434306899,644.1339694748145
0.02176,8174.061741038773,1354.2104224058562
0.021920000000000002,7135.004091503767,1794.846071369964
0.022080000000000002,6059.960242127718,1940.6684841425995
0.022240000000000003,5158.5105706644845,1840.8939317792806
0.022400000000000003,4346.404100175028,1502.9809088578797
0.02256,3733.6895835150362,1063.6849592372448
0.02272,3326.082780685078,522.6826921549109
0.02288,3133.49114003163,-41.39651046566179
0.02304,3090.372101793658,-584.2623890326008
0.023200000000000002,3237.0996447785487,-1053.6854566571324
0.023360000000000002,3511.709278497479,-1417.3420492168634
0.023520000000000003,3898.141860762257,-1670.8211330882905
0.023680000000000003,4300.397399417123,-1769.2970092885544
0.023840000000000004,4751.4604512100495,-1749.8883776429266
0.024,5143.973735106119,-1618.0555972380962
0.02416,5505.392867543731,-1389.5223463659656
0.02432,5786.32452909945,-1103.3042170625079
0.024480000000000002,5991.624539656323,-800.2490063238376
0.024640000000000002,6106.046378101465,-449.14577081590915
0.024800000000000003,6163.321042924746,-137.8820937077922
0.024960000000000003,6198.329582769926,180.79139422605323
0.025120000000000003,6220.707322823956,480.20592280104296
0.02528,6202.70119447266,710.936047322052
0.02544,6199.432504940994,911.1541692473705
0.0256,6277.125240950942,1073.6672027858085
0.02576,6374.012067107862,1254.9665238507112
0.025920000000000002,6487.307046369811,1447.3599358381703
0.026080000000000002,6671.2581170985295,1708.851859459983
0.026240000000000003,6845.630862024934,2031.0246547070954
0.026400000000000003,7051.685320621942,2461.8932657801256
0.026560000000000004,7203.87520607195,3010.661860509624
0.02672,7283.797423199975,3629.551325668496
0.02688,7254.580139108551,4343.682531951326
0.02704,7149.261771097448,5153.200839161516
0.027200000000000002,6852.417173277094,5923.053670370236
0.027360000000000002,6433.583056541465,6629.994638556592
0.027520000000000003,5874.225668387133,7410.980709666652
0.027680000000000003,5143.875821717861,8055.568190446477
0.027840000000000004,4256.666789170348,8508.441548154244
0.028,3337.652436625072,8865.644072642675
0.02816,2291.66784702892,9048.037827382897
0.02832,1212.511444286623,9051.895389248242
0.028480000000000002,125.35251900099111,8851.331904730627
0.028640000000000002,-844.1791280639331,8402.695907661002
0.028800000000000003,-1717.442180765185,7817.662830540129
0.028960000000000003,-2371.4070201634154,7085.732358636799
0.029120000000000004,-2864.7618594285823,6283.222027963245
0.029280000000000004,-3124.8514162270553,5366.180236245112
0.02944,-3207.985842091886,4540.333829814235
0.0296,-3061.2508750849906,3684.341199440479
0.02976,-2776.004137209796,2980.7871774500336
0.029920000000000002,-2338.9876443847807,2380.8808546756222
